seq_no=0,	ch0= 704, ch1=  20, ch2= 420, ch3= 105, ch4=  34, ch5=   0, ts=1714036060259952,	delta=1714036060259952,
seq_no=1,	ch0= 704, ch1=  77, ch2= 286, ch3= 141, ch4=  36, ch5=   0, ts=1714036060264509,	delta=4557,
seq_no=2,	ch0= 732, ch1=  53, ch2= 322, ch3= 125, ch4=  68, ch5=   0, ts=1714036060264777,	delta=268,
seq_no=3,	ch0= 723, ch1= 341, ch2=  46, ch3=  53, ch4= 106, ch5=   0, ts=1714036060264885,	delta=108,
seq_no=4,	ch0= 146, ch1= 796, ch2= 181, ch3=   0, ch4=  69, ch5= 103, ts=1714036060264974,	delta=89,
seq_no=5,	ch0=  90, ch1= 765, ch2= 375, ch3=   0, ch4=  69, ch5= 137, ts=1714036060265061,	delta=87,
seq_no=6,	ch0=  33, ch1= 744, ch2= 384, ch3=   0, ch4=  30, ch5= 114, ts=1714036060265094,	delta=33,
seq_no=7,	ch0=   0, ch1= 685, ch2= 506, ch3=   8, ch4=   9, ch5= 122, ts=1714036060265123,	delta=29,
seq_no=8,	ch0=   0, ch1= 609, ch2= 611, ch3=  18, ch4=   0, ch5= 132, ts=1714036060265553,	delta=430,
seq_no=9,	ch0=   0, ch1= 509, ch2= 707, ch3=  36, ch4=   0, ch5= 128, ts=1714036060266471,	delta=918,
seq_no=10,	ch0=   5, ch1= 405, ch2= 784, ch3=  67, ch4=   0, ch5= 119, ts=1714036060267294,	delta=823,
seq_no=11,	ch0=  64, ch1= 290, ch2= 884, ch3=  90, ch4=   0, ch5=  94, ts=1714036060268141,	delta=847,
seq_no=12,	ch0= 141, ch1= 194, ch2= 840, ch3= 116, ch4=   0, ch5=  43, ts=1714036060268976,	delta=835,
seq_no=13,	ch0= 234, ch1=  68, ch2= 845, ch3= 133, ch4=  18, ch5=  51, ts=1714036060269805,	delta=829,
seq_no=14,	ch0= 401, ch1=  26, ch2= 807, ch3= 136, ch4=   0, ch5=  37, ts=1714036060270755,	delta=950,
seq_no=15,	ch0= 401, ch1=   0, ch2= 760, ch3= 174, ch4=   0, ch5=  25, ts=1714036060271483,	delta=728,
seq_no=16,	ch0= 523, ch1=  16, ch2= 648, ch3= 130, ch4=   8, ch5=   0, ts=1714036060272344,	delta=861,
seq_no=17,	ch0= 615, ch1=   0, ch2= 458, ch3= 139, ch4=  21, ch5=  88, ts=1714036060273115,	delta=771,
seq_no=18,	ch0= 697, ch1=  11, ch2= 437, ch3= 133, ch4=  50, ch5=   0, ts=1714036060273974,	delta=859,
seq_no=19,	ch0= 747, ch1=  86, ch2= 308, ch3= 121, ch4=  69, ch5=   0, ts=1714036060274845,	delta=871,
seq_no=20,	ch0= 763, ch1= 164, ch2= 200, ch3= 104, ch4=  84, ch5=   0, ts=1714036060275665,	delta=820,
seq_no=21,	ch0= 747, ch1= 267, ch2= 106, ch3=  79, ch4= 101, ch5=   0, ts=1714036060276473,	delta=808,
seq_no=22,	ch0= 711, ch1= 377, ch2=  29, ch3=  57, ch4= 114, ch5=   0, ts=1714036060277423,	delta=950,
seq_no=23,	ch0= 660, ch1= 480, ch2=   0, ch3=  34, ch4= 119, ch5=   0, ts=1714036060278246,	delta=823,
seq_no=24,	ch0= 576, ch1= 551, ch2=   0, ch3=   5, ch4= 117, ch5=  10, ts=1714036060279066,	delta=820,
seq_no=25,	ch0= 484, ch1= 663, ch2=   0, ch3=   0, ch4= 101, ch5=  32, ts=1714036060279906,	delta=840,
seq_no=26,	ch0= 346, ch1= 727, ch2=  26, ch3=   0, ch4=  96, ch5=  64, ts=1714036060280817,	delta=911,
seq_no=27,	ch0= 231, ch1= 787, ch2= 109, ch3=   0, ch4=  89, ch5= 100, ts=1714036060281657,	delta=840,
seq_no=28,	ch0= 154, ch1= 820, ch2= 186, ch3=   0, ch4=  88, ch5= 192, ts=1714036060282492,	delta=835,
seq_no=29,	ch0=  81, ch1= 895, ch2= 273, ch3=   0, ch4=  43, ch5=  38, ts=1714036060283313,	delta=821,
seq_no=30,	ch0=   9, ch1= 732, ch2= 410, ch3=   0, ch4=  32, ch5= 124, ts=1714036060284169,	delta=856,
seq_no=31,	ch0=   0, ch1= 669, ch2= 525, ch3=  19, ch4=  16, ch5= 129, ts=1714036060284983,	delta=814,
seq_no=32,	ch0=   0, ch1= 577, ch2= 635, ch3=  29, ch4=   0, ch5= 126, ts=1714036060285810,	delta=827,
seq_no=33,	ch0=   0, ch1= 484, ch2= 719, ch3=  57, ch4=   0, ch5= 118, ts=1714036060286769,	delta=959,
seq_no=34,	ch0=  10, ch1= 372, ch2= 803, ch3=  78, ch4=   0, ch5= 111, ts=1714036060287486,	delta=717,
seq_no=35,	ch0=  70, ch1= 322, ch2= 847, ch3= 110, ch4=   0, ch5=  86, ts=1714036060288351,	delta=865,
seq_no=36,	ch0= 154, ch1= 149, ch2= 861, ch3= 114, ch4=   0, ch5=  74, ts=1714036060289188,	delta=837,
seq_no=37,	ch0= 226, ch1=  69, ch2= 836, ch3= 166, ch4=   0, ch5=  69, ts=1714036060290032,	delta=844,
seq_no=38,	ch0= 356, ch1=  13, ch2= 784, ch3= 133, ch4=   0, ch5=  40, ts=1714036060290884,	delta=852,
seq_no=39,	ch0= 477, ch1=   0, ch2= 624, ch3= 151, ch4=   0, ch5= 125, ts=1714036060291630,	delta=746,
seq_no=40,	ch0= 556, ch1=  83, ch2= 601, ch3= 157, ch4=  18, ch5=   0, ts=1714036060292513,	delta=883,
seq_no=41,	ch0= 629, ch1=   0, ch2= 500, ch3= 149, ch4= 106, ch5=   0, ts=1714036060293307,	delta=794,
seq_no=42,	ch0= 715, ch1=  20, ch2= 402, ch3= 133, ch4=  64, ch5=   0, ts=1714036060294133,	delta=826,
seq_no=43,	ch0= 758, ch1=  92, ch2= 283, ch3= 117, ch4=  77, ch5=   0, ts=1714036060294987,	delta=854,
seq_no=44,	ch0= 763, ch1= 192, ch2= 171, ch3=  98, ch4= 101, ch5=   0, ts=1714036060295813,	delta=826,
seq_no=45,	ch0= 736, ch1= 281, ch2=  79, ch3=  75, ch4= 106, ch5=   0, ts=1714036060296653,	delta=840,
seq_no=46,	ch0= 704, ch1= 393, ch2=   4, ch3=  46, ch4= 111, ch5=   0, ts=1714036060297497,	delta=844,
seq_no=47,	ch0= 642, ch1= 501, ch2=   0, ch3=  29, ch4= 111, ch5=   9, ts=1714036060298332,	delta=835,
seq_no=48,	ch0= 533, ch1= 594, ch2=   0, ch3=  16, ch4= 101, ch5=  37, ts=1714036060299184,	delta=852,
seq_no=49,	ch0= 458, ch1= 692, ch2=   0, ch3=   0, ch4= 100, ch5=  36, ts=1714036060300015,	delta=831,
seq_no=50,	ch0= 338, ch1= 745, ch2=   0, ch3=   0, ch4=  98, ch5=  75, ts=1714036060300856,	delta=841,
seq_no=51,	ch0= 237, ch1= 884, ch2= 101, ch3=   0, ch4=  89, ch5=  43, ts=1714036060301700,	delta=844,
seq_no=52,	ch0= 177, ch1= 736, ch2= 213, ch3=   0, ch4= 109, ch5=  90, ts=1714036060302540,	delta=840,
seq_no=53,	ch0=   0, ch1= 760, ch2= 321, ch3=  64, ch4=  31, ch5= 119, ts=1714036060303396,	delta=856,
seq_no=54,	ch0=   6, ch1= 726, ch2= 441, ch3=   5, ch4=  23, ch5= 121, ts=1714036060304225,	delta=829,
seq_no=55,	ch0=   0, ch1= 658, ch2= 560, ch3=  21, ch4=   4, ch5= 127, ts=1714036060305067,	delta=842,
seq_no=56,	ch0=   0, ch1= 576, ch2= 667, ch3=  38, ch4=   0, ch5= 130, ts=1714036060305907,	delta=840,
seq_no=57,	ch0=   0, ch1= 460, ch2= 749, ch3=  49, ch4=   0, ch5= 130, ts=1714036060306756,	delta=849,
seq_no=58,	ch0=  33, ch1= 352, ch2= 813, ch3=  75, ch4=   0, ch5= 123, ts=1714036060307587,	delta=831,
seq_no=59,	ch0=  50, ch1= 241, ch2= 847, ch3= 151, ch4=   0, ch5=  90, ts=1714036060308428,	delta=841,
seq_no=60,	ch0= 188, ch1= 154, ch2= 860, ch3= 109, ch4=   0, ch5=  64, ts=1714036060309271,	delta=843,
seq_no=61,	ch0= 282, ch1=  64, ch2= 799, ch3= 133, ch4=   0, ch5= 122, ts=1714036060310114,	delta=843,
seq_no=62,	ch0= 386, ch1=  79, ch2= 770, ch3= 145, ch4=   0, ch5=  13, ts=1714036060310963,	delta=849,
seq_no=63,	ch0= 513, ch1=   0, ch2= 693, ch3= 162, ch4=  34, ch5=   0, ts=1714036060311796,	delta=833,
seq_no=64,	ch0= 687, ch1=   0, ch2= 646, ch3= 156, ch4=   0, ch5=   5, ts=1714036060312636,	delta=840,
seq_no=65,	ch0= 619, ch1=   0, ch2= 498, ch3= 158, ch4=  29, ch5=   0, ts=1714036060313481,	delta=845,
seq_no=66,	ch0= 727, ch1=  44, ch2= 369, ch3= 125, ch4=  64, ch5=   0, ts=1714036060314322,	delta=841,
seq_no=67,	ch0= 761, ch1= 116, ch2= 260, ch3= 108, ch4=  74, ch5=   0, ts=1714036060315169,	delta=847,
seq_no=68,	ch0= 761, ch1= 210, ch2= 162, ch3=  91, ch4=  98, ch5=   0, ts=1714036060316004,	delta=835,
