seq_no=0,	ch0=1032, ch1= 370, ch2=2726, ch3=  43, ch4=  54, ch5=  70, ts=1713173707075776,	delta=1713173707075776,
seq_no=1,	ch0= 650, ch1= 728, ch2=2729, ch3=  45, ch4=  65, ch5=  64, ts=1713173707076015,	delta=239,
seq_no=2,	ch0= 306, ch1=1129, ch2=2716, ch3=  47, ch4=  73, ch5=  49, ts=1713173707076116,	delta=101,
seq_no=3,	ch0=  35, ch1=1553, ch2=2701, ch3=  57, ch4=  65, ch5=  44, ts=1713173707076205,	delta=89,
seq_no=4,	ch0=   0, ch1=1968, ch2=2666, ch3=  64, ch4=  79, ch5=  34, ts=1713173707076291,	delta=86,
seq_no=5,	ch0= 964, ch1=2563, ch2= 475, ch3= 130, ch4=  53, ch5=   0, ts=1713173707076376,	delta=85,
seq_no=6,	ch0=2460, ch1= 424, ch2=1117, ch3=  88, ch4=   0, ch5= 121, ts=1713173707076410,	delta=34,
seq_no=7,	ch0=2442, ch1= 132, ch2=1568, ch3=  72, ch4=   0, ch5= 129, ts=1713173707076439,	delta=29,
seq_no=8,	ch0=2406, ch1=  22, ch2=2017, ch3=  53, ch4=  13, ch5= 132, ts=1713173707076468,	delta=29,
seq_no=9,	ch0=2288, ch1=  21, ch2=2460, ch3=  28, ch4=  18, ch5= 129, ts=1713173707076495,	delta=27,
seq_no=10,	ch0=1904, ch1=   0, ch2=2656, ch3=  21, ch4= 102, ch5= 125, ts=1713173707076523,	delta=28,
seq_no=11,	ch0=1497, ch1=  53, ch2=2700, ch3=  21, ch4=  18, ch5= 109, ts=1713173707077225,	delta=702,
seq_no=12,	ch0=1173, ch1= 308, ch2=2723, ch3=  22, ch4=  73, ch5= 104, ts=1713173707078042,	delta=817,
seq_no=13,	ch0= 622, ch1= 658, ch2=2712, ch3=  75, ch4= 101, ch5=  97, ts=1713173707078937,	delta=895,
seq_no=14,	ch0= 310, ch1=1067, ch2=2709, ch3=   0, ch4=  98, ch5=  64, ts=1713173707079781,	delta=844,
seq_no=15,	ch0=  45, ch1=1545, ch2=2719, ch3=   4, ch4= 114, ch5=  73, ts=1713173707080714,	delta=933,
seq_no=16,	ch0=   0, ch1=1920, ch2=2740, ch3=  29, ch4= 108, ch5=  26, ts=1713173707081536,	delta=822,
seq_no=17,	ch0=   0, ch1=2308, ch2=2551, ch3=  54, ch4= 114, ch5=   9, ts=1713173707082378,	delta=842,
seq_no=18,	ch0=   0, ch1=2497, ch2=2122, ch3=  77, ch4= 117, ch5=   0, ts=1713173707083215,	delta=837,
seq_no=19,	ch0=  73, ch1=2528, ch2=1672, ch3=  81, ch4= 100, ch5=   0, ts=1713173707084057,	delta=842,
seq_no=20,	ch0= 335, ch1=2551, ch2=1201, ch3= 102, ch4=  91, ch5=   1, ts=1713173707084876,	delta=819,
seq_no=21,	ch0= 671, ch1=2559, ch2= 769, ch3= 118, ch4=  75, ch5=   0, ts=1713173707085696,	delta=820,
seq_no=22,	ch0=1067, ch1=2540, ch2= 374, ch3= 129, ch4=  58, ch5=   0, ts=1713173707086562,	delta=866,
seq_no=23,	ch0=1479, ch1=2535, ch2=  82, ch3= 138, ch4=  32, ch5=   1, ts=1713173707087399,	delta=837,
seq_no=24,	ch0=1879, ch1=2499, ch2=  21, ch3= 122, ch4=  13, ch5=  16, ts=1713173707088241,	delta=842,
seq_no=25,	ch0=2341, ch1=2343, ch2=  23, ch3= 132, ch4=   0, ch5=  23, ts=1713173707089089,	delta=848,
seq_no=26,	ch0=2395, ch1=1947, ch2=  36, ch3= 141, ch4=   0, ch5=  50, ts=1713173707089918,	delta=829,
seq_no=27,	ch0=2293, ch1=1505, ch2= 102, ch3= 207, ch4=   0, ch5=  93, ts=1713173707090774,	delta=856,
seq_no=28,	ch0=2469, ch1=1088, ch2= 409, ch3= 125, ch4=   0, ch5=  88, ts=1713173707091522,	delta=748,
seq_no=29,	ch0=2467, ch1= 687, ch2= 789, ch3= 112, ch4=   0, ch5= 108, ts=1713173707092348,	delta=826,
seq_no=30,	ch0=2447, ch1= 340, ch2=1218, ch3=  96, ch4=   2, ch5= 123, ts=1713173707093191,	delta=843,
seq_no=31,	ch0=2435, ch1=  70, ch2=1679, ch3=  73, ch4=   2, ch5= 130, ts=1713173707094031,	delta=840,
seq_no=32,	ch0=2400, ch1=  23, ch2=2144, ch3=  54, ch4=   6, ch5= 114, ts=1713173707094881,	delta=850,
seq_no=33,	ch0=2193, ch1=   9, ch2=2567, ch3=  37, ch4=  21, ch5= 129, ts=1713173707095713,	delta=832,
seq_no=34,	ch0=1797, ch1= 126, ch2=2671, ch3=  33, ch4=  48, ch5=  86, ts=1713173707096553,	delta=840,
seq_no=35,	ch0=1388, ch1= 177, ch2=2707, ch3=  20, ch4=  66, ch5= 100, ts=1713173707097396,	delta=843,
seq_no=36,	ch0= 988, ch1= 386, ch2=2723, ch3=  18, ch4= 106, ch5= 100, ts=1713173707098238,	delta=842,
seq_no=37,	ch0= 694, ch1= 747, ch2=2727, ch3=  18, ch4=  41, ch5=  70, ts=1713173707099151,	delta=913,
seq_no=38,	ch0= 346, ch1=1142, ch2=2706, ch3=  25, ch4=  76, ch5=  64, ts=1713173707099946,	delta=795,
seq_no=39,	ch0=   0, ch1=1586, ch2=2720, ch3=  76, ch4=  96, ch5=  89, ts=1713173707100770,	delta=824,
seq_no=40,	ch0=   0, ch1=2016, ch2=2657, ch3=  29, ch4= 114, ch5=  28, ts=1713173707101826,	delta=1056,
seq_no=41,	ch0=   0, ch1=2401, ch2=2425, ch3=  45, ch4= 116, ch5=  16, ts=1713173707102504,	delta=678,
seq_no=42,	ch0=   0, ch1=2503, ch2=1999, ch3=  76, ch4= 115, ch5=   8, ts=1713173707103312,	delta=808,
seq_no=43,	ch0= 132, ch1=2524, ch2=1532, ch3=  96, ch4= 105, ch5=   2, ts=1713173707104137,	delta=825,
seq_no=44,	ch0= 414, ch1=2555, ch2=1072, ch3= 109, ch4=  96, ch5=   0, ts=1713173707104972,	delta=835,
seq_no=45,	ch0= 789, ch1=2561, ch2= 643, ch3= 123, ch4=  86, ch5=   0, ts=1713173707107406,	delta=2434,
seq_no=46,	ch0=1165, ch1=2549, ch2= 278, ch3= 125, ch4=  69, ch5=   0, ts=1713173707107613,	delta=207,
seq_no=47,	ch0=1579, ch1=2528, ch2=  20, ch3= 139, ch4=  36, ch5=   0, ts=1713173707107645,	delta=32,
seq_no=48,	ch0=1960, ch1=2440, ch2=  22, ch3= 133, ch4=  18, ch5=  13, ts=1713173707108382,	delta=737,
seq_no=49,	ch0=2312, ch1=2190, ch2=   2, ch3= 145, ch4=  68, ch5=  14, ts=1713173707109192,	delta=810,
seq_no=50,	ch0=2428, ch1=1807, ch2=   0, ch3= 150, ch4=  33, ch5=  44, ts=1713173707110026,	delta=834,
seq_no=51,	ch0=2433, ch1=1389, ch2= 182, ch3= 114, ch4=   0, ch5=  73, ts=1713173707110900,	delta=874,
seq_no=52,	ch0=2463, ch1= 993, ch2= 497, ch3= 109, ch4=   0, ch5= 100, ts=1713173707111777,	delta=877,
seq_no=53,	ch0=2433, ch1= 608, ch2= 901, ch3=  96, ch4=   0, ch5= 115, ts=1713173707112558,	delta=781,
seq_no=54,	ch0=2456, ch1= 276, ch2=1351, ch3=  85, ch4=   0, ch5= 125, ts=1713173707113387,	delta=829,
seq_no=55,	ch0=2426, ch1=  26, ch2=1807, ch3=  59, ch4=   4, ch5= 131, ts=1713173707114228,	delta=841,
seq_no=56,	ch0=2380, ch1=  21, ch2=2247, ch3=  43, ch4=  17, ch5= 130, ts=1713173707115083,	delta=855,
seq_no=57,	ch0=2100, ch1=   1, ch2=2656, ch3=  34, ch4=  32, ch5= 124, ts=1713173707115920,	delta=837,
seq_no=58,	ch0=1700, ch1=   5, ch2=2686, ch3=  37, ch4=  45, ch5= 138, ts=1713173707116758,	delta=838,
seq_no=59,	ch0=1288, ch1= 186, ch2=2711, ch3=  22, ch4=  77, ch5= 168, ts=1713173707117596,	delta=838,
seq_no=60,	ch0= 886, ch1= 482, ch2=2723, ch3=  18, ch4=  90, ch5=  75, ts=1713173707118439,	delta=843,
seq_no=61,	ch0= 553, ch1= 913, ch2=2724, ch3=  20, ch4=  99, ch5=  64, ts=1713173707119310,	delta=871,
seq_no=62,	ch0= 212, ch1=1209, ch2=2712, ch3=  41, ch4= 182, ch5=  46, ts=1713173707120141,	delta=831,
seq_no=63,	ch0=   0, ch1=1663, ch2=2687, ch3=  26, ch4=  38, ch5=  25, ts=1713173707120977,	delta=836,
seq_no=64,	ch0=   0, ch1=2110, ch2=2639, ch3=  41, ch4= 121, ch5=  24, ts=1713173707121816,	delta=839,
seq_no=65,	ch0=   0, ch1=2446, ch2=2334, ch3=  51, ch4= 112, ch5=   2, ts=1713173707122704,	delta=888,
seq_no=66,	ch0=   0, ch1=2511, ch2=1894, ch3=  78, ch4= 104, ch5=   0, ts=1713173707123498,	delta=794,
seq_no=67,	ch0= 200, ch1=2539, ch2=1417, ch3=  96, ch4= 101, ch5=   0, ts=1713173707124336,	delta=838,
seq_no=68,	ch0= 493, ch1=2556, ch2= 963, ch3= 115, ch4=  84, ch5=   0, ts=1713173707125178,	delta=842,
seq_no=69,	ch0= 860, ch1=2560, ch2= 562, ch3= 118, ch4=  73, ch5=   0, ts=1713173707126015,	delta=837,
seq_no=70,	ch0=1267, ch1=2544, ch2= 224, ch3= 129, ch4=  56, ch5=   2, ts=1713173707126873,	delta=858,
seq_no=71,	ch0=1672, ch1=2515, ch2=   0, ch3= 126, ch4=  29, ch5=  20, ts=1713173707127711,	delta=838,
seq_no=72,	ch0=2077, ch1=2463, ch2=   6, ch3= 128, ch4=  18, ch5=  22, ts=1713173707128552,	delta=841,
seq_no=73,	ch0=2376, ch1=2160, ch2=   0, ch3= 138, ch4=   0, ch5=   0, ts=1713173707129396,	delta=844,
seq_no=74,	ch0=2392, ch1=1863, ch2=   0, ch3= 138, ch4=   0, ch5=   0, ts=1713173707130232,	delta=836,
seq_no=75,	ch0=2472, ch1=1372, ch2= 239, ch3= 161, ch4=   0, ch5=  36, ts=1713173707131087,	delta=855,
seq_no=76,	ch0=2469, ch1= 907, ch2= 589, ch3= 116, ch4=   0, ch5= 100, ts=1713173707131914,	delta=827,
seq_no=77,	ch0=2468, ch1= 517, ch2= 999, ch3= 100, ch4=   0, ch5= 117, ts=1713173707132758,	delta=844,
seq_no=78,	ch0=2449, ch1= 207, ch2=1455, ch3=  84, ch4=   1, ch5= 130, ts=1713173707133834,	delta=1076,
seq_no=79,	ch0=2420, ch1=  17, ch2=1917, ch3=  64, ch4=   0, ch5= 118, ts=1713173707135645,	delta=1811,
seq_no=80,	ch0=2349, ch1=  11, ch2=2368, ch3=  37, ch4=  10, ch5= 117, ts=1713173707135700,	delta=55,
seq_no=81,	ch0=1987, ch1=   8, ch2=2633, ch3=  42, ch4=  34, ch5= 123, ts=1713173707136221,	delta=521,
seq_no=82,	ch0=1589, ch1=  18, ch2=2701, ch3=   0, ch4=  66, ch5= 122, ts=1713173707136997,	delta=776,
seq_no=83,	ch0=1184, ch1= 250, ch2=2715, ch3=  10, ch4=  82, ch5= 108, ts=1713173707137825,	delta=828,
seq_no=84,	ch0= 781, ch1= 568, ch2=2727, ch3=  18, ch4=  93, ch5=  98, ts=1713173707138722,	delta=897,
seq_no=85,	ch0= 434, ch1= 952, ch2=2717, ch3=  14, ch4= 114, ch5= 160, ts=1713173707139508,	delta=786,
seq_no=86,	ch0= 146, ch1=1369, ch2=2712, ch3=  18, ch4= 102, ch5=   0, ts=1713173707140346,	delta=838,
seq_no=87,	ch0=  18, ch1=1881, ch2=2678, ch3=  64, ch4= 133, ch5=   2, ts=1713173707141185,	delta=839,
seq_no=88,	ch0=   0, ch1=2197, ch2=2624, ch3=  45, ch4= 112, ch5=  13, ts=1713173707142027,	delta=842,
seq_no=89,	ch0=   0, ch1=2464, ch2=2246, ch3=  64, ch4= 111, ch5=   5, ts=1713173707142879,	delta=852,
seq_no=90,	ch0=  15, ch1=2524, ch2=1795, ch3=  79, ch4= 108, ch5=   0, ts=1713173707143708,	delta=829,
seq_no=91,	ch0= 256, ch1=2550, ch2=1317, ch3= 101, ch4= 105, ch5=   0, ts=1713173707144553,	delta=845,
seq_no=92,	ch0= 578, ch1=2558, ch2= 873, ch3= 123, ch4=  93, ch5=   0, ts=1713173707145395,	delta=842,
seq_no=93,	ch0= 947, ch1=2559, ch2= 480, ch3= 130, ch4=  59, ch5=   0, ts=1713173707146236,	delta=841,
seq_no=94,	ch0=1353, ch1=2548, ch2= 162, ch3= 128, ch4=  45, ch5=   8, ts=1713173707147086,	delta=850,
seq_no=95,	ch0=1768, ch1=2511, ch2=  32, ch3= 129, ch4=  23, ch5=   1, ts=1713173707147920,	delta=834,
seq_no=96,	ch0=2171, ch1=2422, ch2=  67, ch3= 126, ch4=   6, ch5=  16, ts=1713173707148760,	delta=840,
seq_no=97,	ch0=2389, ch1=2060, ch2=  97, ch3= 123, ch4=  33, ch5=  58, ts=1713173707149603,	delta=843,
seq_no=98,	ch0=2440, ch1=1648, ch2=  96, ch3= 113, ch4=   8, ch5=  64, ts=1713173707150447,	delta=844,
seq_no=99,	ch0=2457, ch1=1180, ch2= 241, ch3= 124, ch4=   1, ch5= 176, ts=1713173707151293,	delta=846,
seq_no=100,	ch0=2463, ch1= 778, ch2= 676, ch3= 114, ch4=   0, ch5= 106, ts=1713173707152129,	delta=836,
seq_no=101,	ch0=2459, ch1= 421, ch2=1102, ch3= 100, ch4=   0, ch5= 123, ts=1713173707152973,	delta=844,
seq_no=102,	ch0=2441, ch1= 132, ch2=1556, ch3=  86, ch4=   2, ch5= 130, ts=1713173707153868,	delta=895,
seq_no=103,	ch0=2408, ch1=  20, ch2=2030, ch3=  69, ch4=   9, ch5= 129, ts=1713173707154710,	delta=842,
seq_no=104,	ch0=2289, ch1=  16, ch2=2473, ch3=  35, ch4=  16, ch5= 114, ts=1713173707155505,	delta=795,
seq_no=105,	ch0=1986, ch1=   5, ch2=2658, ch3=  26, ch4=  14, ch5= 114, ts=1713173707156342,	delta=837,
seq_no=106,	ch0=1555, ch1=  72, ch2=2695, ch3=  26, ch4=  52, ch5= 114, ts=1713173707157185,	delta=843,
seq_no=107,	ch0=1053, ch1= 333, ch2=2723, ch3=  50, ch4=  79, ch5= 112, ts=1713173707158025,	delta=840,
seq_no=108,	ch0= 668, ch1= 679, ch2=2727, ch3=   0, ch4= 102, ch5=  93, ts=1713173707158877,	delta=852,
seq_no=109,	ch0= 350, ch1=1089, ch2=2720, ch3=   5, ch4= 106, ch5=  53, ts=1713173707159709,	delta=832,
seq_no=110,	ch0=  68, ch1=1541, ch2=2693, ch3=  22, ch4= 141, ch5=  58, ts=1713173707160550,	delta=841,
seq_no=111,	ch0=   0, ch1=1925, ch2=2552, ch3=  27, ch4= 110, ch5= 118, ts=1713173707161393,	delta=843,
seq_no=112,	ch0=   0, ch1=2309, ch2=2559, ch3=  38, ch4= 108, ch5=  18, ts=1713173707162236,	delta=843,
seq_no=113,	ch0=   0, ch1=2490, ch2=2126, ch3=  59, ch4= 118, ch5=   0, ts=1713173707163084,	delta=848,
seq_no=114,	ch0=  75, ch1=2528, ch2=1665, ch3=  90, ch4= 108, ch5=   0, ts=1713173707163920,	delta=836,
seq_no=115,	ch0= 342, ch1=2549, ch2=1200, ch3= 106, ch4= 105, ch5=   0, ts=1713173707164760,	delta=840,
seq_no=116,	ch0= 667, ch1=2561, ch2= 762, ch3= 121, ch4=  96, ch5=   1, ts=1713173707165606,	delta=846,
