seq_no=0,	ch0=  94, ch1= 777, ch2= 250, ch3=   0, ch4=  23, ch5=  39, ts=1714035994715345,	delta=1714035994715345,
seq_no=1,	ch0= 249, ch1= 144, ch2= 897, ch3=  87, ch4=   0, ch5=  28, ts=1714035994715578,	delta=233,
seq_no=2,	ch0= 736, ch1=  88, ch2= 277, ch3=  43, ch4=  31, ch5=   0, ts=1714035994715686,	delta=108,
seq_no=3,	ch0= 757, ch1= 181, ch2= 169, ch3=  70, ch4=  30, ch5=   0, ts=1714035994715774,	delta=88,
seq_no=4,	ch0= 752, ch1= 279, ch2=  71, ch3=  64, ch4=  43, ch5=   0, ts=1714035994715858,	delta=84,
seq_no=5,	ch0= 726, ch1= 448, ch2=   0, ch3=  70, ch4=  48, ch5=   0, ts=1714035994715942,	delta=84,
seq_no=6,	ch0= 650, ch1= 450, ch2=   0, ch3=  65, ch4=  94, ch5=   0, ts=1714035994715975,	delta=33,
seq_no=7,	ch0= 613, ch1= 582, ch2=  29, ch3=  48, ch4=  18, ch5=   2, ts=1714035994716393,	delta=418,
seq_no=8,	ch0= 440, ch1= 679, ch2=   0, ch3=  42, ch4=  41, ch5=  18, ts=1714035994717223,	delta=830,
seq_no=9,	ch0= 341, ch1= 744, ch2=  34, ch3=  33, ch4=  38, ch5=  24, ts=1714035994718054,	delta=831,
seq_no=10,	ch0= 234, ch1= 769, ch2= 116, ch3=  31, ch4=  30, ch5=  34, ts=1714035994718932,	delta=878,
seq_no=11,	ch0= 145, ch1= 782, ch2= 217, ch3=  36, ch4=  26, ch5=  37, ts=1714035994719843,	delta=911,
seq_no=12,	ch0=  68, ch1= 768, ch2= 323, ch3=  29, ch4=  25, ch5=  43, ts=1714035994720760,	delta=917,
seq_no=13,	ch0=   0, ch1= 719, ch2= 434, ch3=  40, ch4=  21, ch5=  43, ts=1714035994721596,	delta=836,
seq_no=14,	ch0=   0, ch1= 649, ch2= 553, ch3=  25, ch4=  17, ch5=  64, ts=1714035994722427,	delta=831,
seq_no=15,	ch0=   0, ch1= 546, ch2= 698, ch3=  53, ch4=  14, ch5=  42, ts=1714035994723218,	delta=791,
seq_no=16,	ch0=   0, ch1= 448, ch2= 727, ch3=  64, ch4=   0, ch5=   0, ts=1714035994724046,	delta=828,
seq_no=17,	ch0=  50, ch1= 301, ch2= 804, ch3=  65, ch4=  82, ch5=  14, ts=1714035994724899,	delta=853,
seq_no=18,	ch0= 221, ch1= 205, ch2= 850, ch3=  85, ch4=   0, ch5=  18, ts=1714035994725730,	delta=831,
seq_no=19,	ch0= 131, ch1= 128, ch2= 880, ch3= 119, ch4=   0, ch5=  55, ts=1714035994726670,	delta=940,
seq_no=20,	ch0= 286, ch1=  55, ch2= 832, ch3=  93, ch4=   0, ch5=  21, ts=1714035994727387,	delta=717,
seq_no=21,	ch0= 396, ch1=   0, ch2= 770, ch3=  87, ch4=   5, ch5=  16, ts=1714035994728245,	delta=858,
seq_no=22,	ch0= 487, ch1=   0, ch2= 700, ch3=  85, ch4=  10, ch5=  10, ts=1714035994729011,	delta=766,
seq_no=23,	ch0= 581, ch1=   0, ch2= 610, ch3=  85, ch4=  16, ch5=   2, ts=1714035994729875,	delta=864,
seq_no=24,	ch0= 671, ch1=   0, ch2= 496, ch3=  84, ch4=  22, ch5=   0, ts=1714035994730821,	delta=946,
seq_no=25,	ch0= 689, ch1=  37, ch2= 381, ch3=  78, ch4=  11, ch5=   0, ts=1714035994731543,	delta=722,
seq_no=26,	ch0= 740, ch1= 114, ch2= 253, ch3=  65, ch4=  29, ch5=   5, ts=1714035994732387,	delta=844,
seq_no=27,	ch0= 753, ch1= 213, ch2= 154, ch3=  66, ch4=  42, ch5=   0, ts=1714035994733274,	delta=887,
seq_no=28,	ch0= 740, ch1= 320, ch2=  42, ch3=  58, ch4=  42, ch5=   0, ts=1714035994734155,	delta=881,
seq_no=29,	ch0= 672, ch1= 337, ch2=   0, ch3=  49, ch4= 106, ch5=   0, ts=1714035994734969,	delta=814,
seq_no=30,	ch0= 736, ch1= 500, ch2=  18, ch3=  58, ch4=   9, ch5=  14, ts=1714035994735844,	delta=875,
seq_no=31,	ch0= 453, ch1= 594, ch2=  10, ch3=  72, ch4=  33, ch5=  64, ts=1714035994736728,	delta=884,
seq_no=32,	ch0= 423, ch1= 691, ch2=   0, ch3=  34, ch4=  38, ch5=  16, ts=1714035994737556,	delta=828,
seq_no=33,	ch0= 320, ch1= 748, ch2=  64, ch3=  31, ch4=  37, ch5=  15, ts=1714035994738399,	delta=843,
seq_no=34,	ch0= 217, ch1= 779, ch2= 141, ch3=  33, ch4=  39, ch5=  38, ts=1714035994739233,	delta=834,
seq_no=35,	ch0= 123, ch1= 779, ch2= 237, ch3=  34, ch4=  26, ch5=  40, ts=1714035994740063,	delta=830,
seq_no=36,	ch0=  42, ch1= 757, ch2= 350, ch3=  29, ch4=  21, ch5=  41, ts=1714035994740884,	delta=821,
seq_no=37,	ch0=   0, ch1= 704, ch2= 466, ch3=  26, ch4=  13, ch5=  45, ts=1714035994741720,	delta=836,
seq_no=38,	ch0=   0, ch1= 627, ch2= 637, ch3=  47, ch4=  18, ch5=  53, ts=1714035994742685,	delta=965,
seq_no=39,	ch0=   0, ch1= 525, ch2= 659, ch3=  64, ch4=   4, ch5=  79, ts=1714035994743401,	delta=716,
seq_no=40,	ch0=   0, ch1= 466, ch2= 760, ch3=  67, ch4=   0, ch5=  27, ts=1714035994744238,	delta=837,
seq_no=41,	ch0=  39, ch1= 270, ch2= 814, ch3=  56, ch4=   0, ch5=  37, ts=1714035994745104,	delta=866,
seq_no=42,	ch0=  22, ch1= 204, ch2= 835, ch3= 133, ch4=   0, ch5=  30, ts=1714035994746034,	delta=930,
seq_no=43,	ch0= 192, ch1= 153, ch2= 864, ch3=  46, ch4=   0, ch5=  57, ts=1714035994746737,	delta=703,
seq_no=44,	ch0= 320, ch1=  53, ch2= 810, ch3=  83, ch4=   8, ch5=  20, ts=1714035994747528,	delta=791,
