seq_no=0,	ch0=  53, ch1= 298, ch2= 825, ch3=  94, ch4=   0, ch5= 112, ts=1714036088131507,	delta=1714036088131507,
seq_no=1,	ch0= 141, ch1= 199, ch2= 858, ch3= 104, ch4=   0, ch5=  90, ts=1714036088131708,	delta=201,
seq_no=2,	ch0= 241, ch1= 114, ch2= 841, ch3= 121, ch4=   0, ch5=  73, ts=1714036088131810,	delta=102,
seq_no=3,	ch0=  47, ch1= 783, ch2= 295, ch3=   8, ch4=  82, ch5= 154, ts=1714036088131899,	delta=89,
seq_no=4,	ch0=   4, ch1= 393, ch2= 785, ch3=  99, ch4=   0, ch5= 161, ts=1714036088131984,	delta=85,
seq_no=5,	ch0=  70, ch1= 281, ch2= 839, ch3= 129, ch4=   0, ch5= 132, ts=1714036088132069,	delta=85,
seq_no=6,	ch0= 151, ch1= 183, ch2= 856, ch3= 154, ch4=   0, ch5= 114, ts=1714036088132101,	delta=32,
seq_no=7,	ch0= 234, ch1=  90, ch2= 834, ch3= 173, ch4=   0, ch5= 132, ts=1714036088132130,	delta=29,
seq_no=8,	ch0= 338, ch1=  64, ch2= 806, ch3= 188, ch4=   0, ch5=  64, ts=1714036088132159,	delta=29,
seq_no=9,	ch0= 443, ch1=   0, ch2= 738, ch3= 194, ch4=   0, ch5=  43, ts=1714036088132691,	delta=532,
seq_no=10,	ch0= 489, ch1=   0, ch2= 641, ch3= 242, ch4=  26, ch5=  16, ts=1714036088133599,	delta=908,
seq_no=11,	ch0= 604, ch1=   5, ch2= 555, ch3= 164, ch4=  69, ch5=  34, ts=1714036088134516,	delta=917,
seq_no=12,	ch0= 685, ch1=  11, ch2= 501, ch3= 177, ch4= 128, ch5=   4, ts=1714036088135338,	delta=822,
seq_no=13,	ch0= 776, ch1=  74, ch2= 267, ch3= 151, ch4= 104, ch5=   0, ts=1714036088136193,	delta=855,
seq_no=14,	ch0= 752, ch1= 166, ch2= 202, ch3= 138, ch4= 141, ch5=   0, ts=1714036088136997,	delta=804,
seq_no=15,	ch0= 740, ch1= 264, ch2= 107, ch3= 106, ch4= 156, ch5=   0, ts=1714036088137812,	delta=815,
seq_no=16,	ch0= 711, ch1= 375, ch2=  15, ch3=  73, ch4= 170, ch5=   0, ts=1714036088138842,	delta=1030,
seq_no=17,	ch0= 649, ch1= 480, ch2=   0, ch3=  50, ch4= 178, ch5=  18, ts=1714036088139479,	delta=637,
seq_no=18,	ch0= 567, ch1= 576, ch2=   0, ch3=  26, ch4= 177, ch5=  34, ts=1714036088140323,	delta=844,
seq_no=19,	ch0= 463, ch1= 671, ch2=   0, ch3=  17, ch4= 173, ch5=  70, ts=1714036088141168,	delta=845,
seq_no=20,	ch0= 361, ch1= 725, ch2=  30, ch3=   0, ch4= 153, ch5=  90, ts=1714036088142007,	delta=839,
seq_no=21,	ch0= 258, ch1= 769, ch2=  98, ch3=   0, ch4= 134, ch5= 126, ts=1714036088142811,	delta=804,
seq_no=22,	ch0= 160, ch1= 786, ch2= 196, ch3=   0, ch4= 121, ch5= 148, ts=1714036088143625,	delta=814,
seq_no=23,	ch0=  78, ch1= 798, ch2= 350, ch3=   0, ch4= 121, ch5= 169, ts=1714036088144538,	delta=913,
seq_no=24,	ch0=  44, ch1= 724, ch2= 373, ch3=   0, ch4=  54, ch5=  93, ts=1714036088145333,	delta=795,
seq_no=25,	ch0=   0, ch1= 562, ch2= 521, ch3=  11, ch4= 121, ch5= 164, ts=1714036088146140,	delta=807,
seq_no=26,	ch0=   0, ch1= 567, ch2= 638, ch3=  49, ch4=  11, ch5= 177, ts=1714036088147041,	delta=901,
seq_no=27,	ch0=   0, ch1= 469, ch2= 727, ch3=  79, ch4=   0, ch5= 170, ts=1714036088147904,	delta=863,
seq_no=28,	ch0=  20, ch1= 362, ch2= 797, ch3= 116, ch4=   0, ch5= 162, ts=1714036088148756,	delta=852,
seq_no=29,	ch0=  85, ch1= 247, ch2= 842, ch3= 141, ch4=   0, ch5= 135, ts=1714036088149583,	delta=827,
seq_no=30,	ch0= 176, ch1= 166, ch2= 858, ch3= 151, ch4=   0, ch5= 125, ts=1714036088150489,	delta=906,
seq_no=31,	ch0= 264, ch1=  48, ch2= 832, ch3= 168, ch4=  10, ch5=  85, ts=1714036088151318,	delta=829,
seq_no=32,	ch0= 428, ch1=   5, ch2= 789, ch3= 193, ch4=   0, ch5=  58, ts=1714036088152161,	delta=843,
seq_no=33,	ch0= 452, ch1=   0, ch2= 711, ch3= 154, ch4=  17, ch5=  33, ts=1714036088153013,	delta=852,
seq_no=34,	ch0= 562, ch1=   0, ch2= 676, ch3= 188, ch4=  41, ch5=  11, ts=1714036088153842,	delta=829,
seq_no=35,	ch0= 656, ch1=   0, ch2= 430, ch3= 192, ch4=  85, ch5=  64, ts=1714036088154761,	delta=919,
seq_no=36,	ch0= 740, ch1= 109, ch2= 367, ch3= 206, ch4= 112, ch5=   0, ts=1714036088155471,	delta=710,
seq_no=37,	ch0= 769, ch1=  77, ch2= 250, ch3= 142, ch4=  51, ch5=   0, ts=1714036088156327,	delta=856,
seq_no=38,	ch0= 757, ch1= 188, ch2= 156, ch3= 122, ch4= 145, ch5=   0, ts=1714036088157164,	delta=837,
seq_no=39,	ch0= 749, ch1= 289, ch2=  76, ch3=  96, ch4= 157, ch5=   0, ts=1714036088158031,	delta=867,
seq_no=40,	ch0= 706, ch1= 398, ch2=  13, ch3=  66, ch4= 171, ch5=   0, ts=1714036088158847,	delta=816,
seq_no=41,	ch0= 628, ch1= 507, ch2=   0, ch3=  40, ch4= 178, ch5=  25, ts=1714036088159688,	delta=841,
seq_no=42,	ch0= 538, ch1= 600, ch2=   0, ch3=  13, ch4= 162, ch5=  48, ts=1714036088160534,	delta=846,
seq_no=43,	ch0= 450, ch1= 682, ch2=   0, ch3=   0, ch4= 149, ch5=  79, ts=1714036088161308,	delta=774,
seq_no=44,	ch0= 335, ch1= 745, ch2=  33, ch3=   0, ch4= 147, ch5= 114, ts=1714036088162133,	delta=825,
seq_no=45,	ch0= 236, ch1= 765, ch2= 121, ch3=   0, ch4= 134, ch5= 136, ts=1714036088162989,	delta=856,
seq_no=46,	ch0= 157, ch1= 791, ch2= 213, ch3=   0, ch4= 103, ch5= 150, ts=1714036088163804,	delta=815,
seq_no=47,	ch0=  82, ch1= 817, ch2= 326, ch3=   0, ch4=  92, ch5= 142, ts=1714036088164644,	delta=840,
seq_no=48,	ch0= 130, ch1= 693, ch2= 463, ch3=   4, ch4=   0, ch5= 173, ts=1714036088165485,	delta=841,
seq_no=49,	ch0=   0, ch1= 647, ch2= 608, ch3=  72, ch4=   9, ch5= 226, ts=1714036088166328,	delta=843,
seq_no=50,	ch0=   0, ch1= 557, ch2= 669, ch3=  53, ch4=   0, ch5= 176, ts=1714036088167176,	delta=848,
seq_no=51,	ch0=   0, ch1= 458, ch2= 749, ch3=  86, ch4=   0, ch5= 169, ts=1714036088168000,	delta=824,
seq_no=52,	ch0=  36, ch1= 347, ch2= 816, ch3= 109, ch4=   0, ch5= 156, ts=1714036088168843,	delta=843,
seq_no=53,	ch0= 107, ch1= 244, ch2= 850, ch3= 140, ch4=   0, ch5= 136, ts=1714036088169682,	delta=839,
seq_no=54,	ch0= 194, ch1= 145, ch2= 853, ch3= 161, ch4=   0, ch5= 110, ts=1714036088170524,	delta=842,
seq_no=55,	ch0= 260, ch1=  64, ch2= 832, ch3= 165, ch4=   0, ch5=  70, ts=1714036088171397,	delta=873,
seq_no=56,	ch0= 395, ch1=   2, ch2= 865, ch3= 192, ch4=   2, ch5=  42, ts=1714036088172217,	delta=820,
seq_no=57,	ch0= 502, ch1=   0, ch2= 660, ch3= 197, ch4=  27, ch5=  84, ts=1714036088173052,	delta=835,
seq_no=58,	ch0= 582, ch1=  53, ch2= 591, ch3= 198, ch4=  57, ch5=   0, ts=1714036088173888,	delta=836,
seq_no=59,	ch0= 686, ch1=   0, ch2= 474, ch3= 203, ch4= 129, ch5=   0, ts=1714036088174750,	delta=862,
seq_no=60,	ch0= 783, ch1=  41, ch2= 378, ch3= 164, ch4=  82, ch5=   0, ts=1714036088176101,	delta=1351,
seq_no=61,	ch0= 720, ch1= 139, ch2= 245, ch3= 101, ch4= 128, ch5=   0, ts=1714036088176483,	delta=382,
seq_no=62,	ch0= 752, ch1= 214, ch2= 145, ch3= 132, ch4= 146, ch5=   0, ts=1714036088177282,	delta=799,
seq_no=63,	ch0= 727, ch1= 311, ch2=  64, ch3=  96, ch4= 162, ch5=   0, ts=1714036088178113,	delta=831,
seq_no=64,	ch0= 674, ch1= 422, ch2=   5, ch3=  64, ch4= 173, ch5=   4, ts=1714036088178969,	delta=856,
seq_no=65,	ch0= 601, ch1= 524, ch2=   0, ch3=  38, ch4= 178, ch5=  27, ts=1714036088179794,	delta=825,
seq_no=66,	ch0= 516, ch1= 620, ch2=   0, ch3=  17, ch4= 171, ch5=  53, ts=1714036088180629,	delta=835,
seq_no=67,	ch0= 421, ch1= 696, ch2=   0, ch3=   0, ch4= 170, ch5=  84, ts=1714036088181472,	delta=843,
seq_no=68,	ch0= 330, ch1= 755, ch2=  41, ch3=   0, ch4= 153, ch5= 109, ts=1714036088182374,	delta=902,
seq_no=69,	ch0= 224, ch1= 789, ch2= 138, ch3=   0, ch4= 128, ch5= 129, ts=1714036088183174,	delta=800,
seq_no=70,	ch0= 126, ch1= 767, ch2= 241, ch3=   0, ch4=  87, ch5= 154, ts=1714036088183997,	delta=823,
seq_no=71,	ch0=   0, ch1= 737, ch2= 370, ch3=  48, ch4=  64, ch5= 207, ts=1714036088184837,	delta=840,
seq_no=72,	ch0=   0, ch1= 747, ch2= 494, ch3=   0, ch4=  45, ch5= 196, ts=1714036088185677,	delta=840,
