seq_no=0,	ch0=  57, ch1= 258, ch2= 843, ch3=  46, ch4=   0, ch5=  30, ts=1714036032362896,	delta=1714036032362896,
seq_no=1,	ch0= 752, ch1= 101, ch2= 266, ch3=  81, ch4=  40, ch5=   0, ts=1714036032363117,	delta=221,
seq_no=2,	ch0= 334, ch1= 749, ch2=  52, ch3=   2, ch4=  64, ch5=  46, ts=1714036032363217,	delta=100,
seq_no=3,	ch0= 210, ch1= 798, ch2= 130, ch3=   0, ch4=  48, ch5=  58, ts=1714036032363305,	delta=88,
seq_no=4,	ch0= 128, ch1= 808, ch2= 264, ch3=   0, ch4=  33, ch5=  64, ts=1714036032363391,	delta=86,
seq_no=5,	ch0=  64, ch1= 884, ch2= 321, ch3=  10, ch4=   2, ch5=   9, ts=1714036032363474,	delta=83,
seq_no=6,	ch0=   0, ch1= 609, ch2= 448, ch3=   0, ch4=  64, ch5=  58, ts=1714036032363507,	delta=33,
seq_no=7,	ch0=   0, ch1= 640, ch2= 583, ch3=  19, ch4=   0, ch5=  82, ts=1714036032363977,	delta=470,
seq_no=8,	ch0=   0, ch1= 551, ch2= 670, ch3=  39, ch4=   0, ch5=  76, ts=1714036032364805,	delta=828,
seq_no=9,	ch0=   0, ch1= 440, ch2= 760, ch3=  64, ch4=   0, ch5=  73, ts=1714036032365644,	delta=839,
seq_no=10,	ch0=  36, ch1= 327, ch2= 802, ch3=  75, ch4=   0, ch5=  64, ts=1714036032366483,	delta=839,
seq_no=11,	ch0= 111, ch1= 220, ch2= 844, ch3=  89, ch4=   0, ch5=  48, ts=1714036032367331,	delta=848,
seq_no=12,	ch0= 194, ch1= 158, ch2= 846, ch3= 100, ch4=   0, ch5=  34, ts=1714036032368210,	delta=879,
seq_no=13,	ch0= 296, ch1=  42, ch2= 824, ch3= 109, ch4=   0, ch5=  25, ts=1714036032369129,	delta=919,
seq_no=14,	ch0= 352, ch1=   0, ch2= 764, ch3= 159, ch4=   0, ch5=  13, ts=1714036032370030,	delta=901,
seq_no=15,	ch0= 488, ch1=   0, ch2= 684, ch3=  91, ch4=   0, ch5=   5, ts=1714036032370937,	delta=907,
seq_no=16,	ch0= 589, ch1=   0, ch2= 667, ch3= 117, ch4=  42, ch5=  11, ts=1714036032371665,	delta=728,
seq_no=17,	ch0= 670, ch1=   0, ch2= 417, ch3= 110, ch4=  34, ch5=  41, ts=1714036032372470,	delta=805,
seq_no=18,	ch0= 743, ch1= 123, ch2= 355, ch3= 130, ch4=  50, ch5=   0, ts=1714036032373324,	delta=854,
seq_no=19,	ch0= 759, ch1= 117, ch2= 245, ch3=  86, ch4=  52, ch5=   0, ts=1714036032374177,	delta=853,
seq_no=20,	ch0= 755, ch1= 213, ch2= 137, ch3=  75, ch4=  66, ch5=   0, ts=1714036032374986,	delta=809,
seq_no=21,	ch0= 736, ch1= 320, ch2=  53, ch3=  57, ch4=  64, ch5=   0, ts=1714036032375844,	delta=858,
seq_no=22,	ch0= 679, ch1= 429, ch2=   0, ch3=  45, ch4=  66, ch5=   0, ts=1714036032376651,	delta=807,
seq_no=23,	ch0= 597, ch1= 530, ch2=   0, ch3=  30, ch4=  67, ch5=   4, ts=1714036032377500,	delta=849,
seq_no=24,	ch0= 520, ch1= 629, ch2=   0, ch3=  29, ch4=  68, ch5=  15, ts=1714036032378282,	delta=782,
seq_no=25,	ch0= 412, ch1= 704, ch2=   0, ch3=  16, ch4=  64, ch5=  22, ts=1714036032379167,	delta=885,
seq_no=26,	ch0= 309, ch1= 775, ch2=  69, ch3=   9, ch4=  58, ch5=  37, ts=1714036032380027,	delta=860,
seq_no=27,	ch0= 198, ch1= 791, ch2= 144, ch3=   0, ch4=  42, ch5=  37, ts=1714036032380804,	delta=777,
seq_no=28,	ch0= 114, ch1= 780, ch2= 320, ch3=   2, ch4=  56, ch5=  64, ts=1714036032381686,	delta=882,
seq_no=29,	ch0=  98, ch1= 761, ch2= 341, ch3=  19, ch4=  20, ch5=   0, ts=1714036032382552,	delta=866,
seq_no=30,	ch0=   0, ch1= 591, ch2= 484, ch3=  10, ch4=  90, ch5=  58, ts=1714036032383412,	delta=860,
seq_no=31,	ch0=   0, ch1= 626, ch2= 594, ch3=  30, ch4=   0, ch5=  69, ts=1714036032384251,	delta=839,
seq_no=32,	ch0=   0, ch1= 534, ch2= 693, ch3=  46, ch4=   0, ch5=  68, ts=1714036032385124,	delta=873,
seq_no=33,	ch0=   0, ch1= 421, ch2= 769, ch3=  64, ch4=   0, ch5=  58, ts=1714036032385988,	delta=864,
seq_no=34,	ch0=  52, ch1= 309, ch2= 817, ch3=  75, ch4=   0, ch5=  52, ts=1714036032386908,	delta=920,
seq_no=35,	ch0= 129, ch1= 214, ch2= 860, ch3=  90, ch4=   0, ch5=  43, ts=1714036032387659,	delta=751,
seq_no=36,	ch0= 215, ch1= 170, ch2= 850, ch3= 114, ch4=   0, ch5=  21, ts=1714036032388518,	delta=859,
seq_no=37,	ch0= 339, ch1=  29, ch2= 817, ch3= 106, ch4=   0, ch5=  22, ts=1714036032389318,	delta=800,
seq_no=38,	ch0= 376, ch1=   0, ch2= 754, ch3= 148, ch4=   0, ch5=   2, ts=1714036032390148,	delta=830,
seq_no=39,	ch0= 516, ch1=   0, ch2= 666, ch3=  96, ch4=   1, ch5=   0, ts=1714036032390972,	delta=824,
seq_no=40,	ch0= 616, ch1=   2, ch2= 643, ch3= 106, ch4=  40, ch5=  13, ts=1714036032391818,	delta=846,
seq_no=41,	ch0= 699, ch1=   1, ch2= 389, ch3=  93, ch4=  38, ch5=  37, ts=1714036032392671,	delta=853,
seq_no=42,	ch0= 757, ch1= 136, ch2= 320, ch3= 123, ch4=  58, ch5=   0, ts=1714036032393597,	delta=926,
seq_no=43,	ch0= 758, ch1= 146, ch2= 217, ch3=  82, ch4=  34, ch5=   0, ts=1714036032394340,	delta=743,
seq_no=44,	ch0= 752, ch1= 242, ch2= 123, ch3=  73, ch4=  64, ch5=   0, ts=1714036032395253,	delta=913,
seq_no=45,	ch0= 728, ch1= 352, ch2=  45, ch3=  64, ch4=  57, ch5=   0, ts=1714036032395992,	delta=739,
seq_no=46,	ch0= 670, ch1= 463, ch2=   0, ch3=  50, ch4=  64, ch5=   0, ts=1714036032396792,	delta=800,
seq_no=47,	ch0= 594, ch1= 566, ch2=   0, ch3=  26, ch4=  66, ch5=  10, ts=1714036032397622,	delta=830,
seq_no=48,	ch0= 510, ch1= 652, ch2=   0, ch3=  16, ch4=  64, ch5=   8, ts=1714036032398461,	delta=839,
seq_no=49,	ch0= 403, ch1= 719, ch2=   9, ch3=   5, ch4=  46, ch5=  27, ts=1714036032399319,	delta=858,
seq_no=50,	ch0= 274, ch1= 766, ch2=  96, ch3=   5, ch4=  42, ch5=  48, ts=1714036032400159,	delta=840,
seq_no=51,	ch0= 180, ch1= 801, ch2= 192, ch3=   2, ch4=  29, ch5=  58, ts=1714036032400981,	delta=822,
seq_no=52,	ch0=  93, ch1= 770, ch2= 199, ch3=   2, ch4=  20, ch5= 150, ts=1714036032401819,	delta=838,
seq_no=53,	ch0=  28, ch1= 849, ch2= 383, ch3=  43, ch4=  28, ch5=  20, ts=1714036032402672,	delta=853,
seq_no=54,	ch0=   0, ch1= 639, ch2= 497, ch3=  38, ch4=  42, ch5=  45, ts=1714036032403503,	delta=831,
seq_no=55,	ch0=   0, ch1= 613, ch2= 620, ch3=  36, ch4=   0, ch5=  74, ts=1714036032404345,	delta=842,
seq_no=56,	ch0=   0, ch1= 503, ch2= 709, ch3=  50, ch4=   0, ch5=  68, ts=1714036032405185,	delta=840,
seq_no=57,	ch0=  13, ch1= 396, ch2= 790, ch3=  64, ch4=   0, ch5=  74, ts=1714036032406024,	delta=839,
seq_no=58,	ch0=  66, ch1= 286, ch2= 838, ch3=  75, ch4=   0, ch5=  69, ts=1714036032406875,	delta=851,
seq_no=59,	ch0= 153, ch1= 188, ch2= 861, ch3=  90, ch4=   0, ch5=  49, ts=1714036032407779,	delta=904,
seq_no=60,	ch0= 242, ch1=  46, ch2= 841, ch3=  93, ch4=  40, ch5=  29, ts=1714036032409272,	delta=1493,
seq_no=61,	ch0= 439, ch1=  19, ch2= 803, ch3=  98, ch4=   0, ch5=  25, ts=1714036032409456,	delta=184,
seq_no=62,	ch0= 402, ch1=   0, ch2= 733, ch3= 148, ch4=   0, ch5=  14, ts=1714036032410315,	delta=859,
seq_no=63,	ch0= 537, ch1=   0, ch2= 636, ch3=  90, ch4=  14, ch5=   1, ts=1714036032411124,	delta=809,
seq_no=64,	ch0= 620, ch1=  16, ch2= 600, ch3= 100, ch4=  58, ch5=  10, ts=1714036032411932,	delta=808,
seq_no=65,	ch0= 756, ch1=  34, ch2= 366, ch3=  90, ch4=  39, ch5=   1, ts=1714036032412765,	delta=833,
seq_no=66,	ch0= 736, ch1=   0, ch2= 285, ch3=  83, ch4= 129, ch5=   0, ts=1714036032413603,	delta=838,
