seq_no=0,	ch0= 692, ch1= 346, ch2=  31, ch3=  24, ch4= 165, ch5=   0, ts=1714036106447486,	delta=1714036106447486,
seq_no=1,	ch0= 656, ch1= 450, ch2=   0, ch3=  50, ch4= 179, ch5=   2, ts=1714036106447723,	delta=237,
seq_no=2,	ch0= 594, ch1= 560, ch2=   0, ch3=  30, ch4= 170, ch5=  26, ts=1714036106447828,	delta=105,
seq_no=3,	ch0= 490, ch1= 645, ch2=   0, ch3=  10, ch4= 170, ch5=  58, ts=1714036106447919,	delta=91,
seq_no=4,	ch0= 761, ch1= 186, ch2= 178, ch3= 168, ch4= 169, ch5=   0, ts=1714036106448004,	delta=85,
seq_no=5,	ch0= 145, ch1= 789, ch2= 214, ch3=   0, ch4= 141, ch5= 182, ts=1714036106448088,	delta=84,
seq_no=6,	ch0=  64, ch1= 762, ch2= 331, ch3=   0, ch4= 105, ch5= 210, ts=1714036106448120,	delta=32,
seq_no=7,	ch0=   0, ch1= 713, ch2= 443, ch3=  10, ch4=  66, ch5= 224, ts=1714036106448150,	delta=30,
seq_no=8,	ch0=   0, ch1= 612, ch2= 553, ch3=  26, ch4=  79, ch5= 213, ts=1714036106448179,	delta=29,
seq_no=9,	ch0=  46, ch1= 558, ch2= 667, ch3=  64, ch4=   0, ch5= 218, ts=1714036106448208,	delta=29,
seq_no=10,	ch0=   0, ch1= 459, ch2= 748, ch3= 123, ch4=   0, ch5= 213, ts=1714036106448764,	delta=556,
seq_no=11,	ch0=   0, ch1= 409, ch2= 837, ch3= 114, ch4=   0, ch5= 207, ts=1714036106449583,	delta=819,
seq_no=12,	ch0=  93, ch1= 266, ch2= 743, ch3= 174, ch4=   0, ch5= 268, ts=1714036106450419,	delta=836,
seq_no=13,	ch0= 160, ch1= 264, ch2= 834, ch3= 210, ch4=   0, ch5=  82, ts=1714036106451271,	delta=852,
seq_no=14,	ch0= 277, ch1=  65, ch2= 832, ch3= 231, ch4=   0, ch5=  98, ts=1714036106452192,	delta=921,
seq_no=15,	ch0= 386, ch1=  17, ch2= 778, ch3= 248, ch4=   9, ch5=  71, ts=1714036106453127,	delta=935,
seq_no=16,	ch0= 488, ch1=   0, ch2= 700, ch3= 253, ch4=  29, ch5=  45, ts=1714036106453945,	delta=818,
seq_no=17,	ch0= 577, ch1=   0, ch2= 597, ch3= 249, ch4=  64, ch5=  18, ts=1714036106454906,	delta=961,
seq_no=18,	ch0= 658, ch1=   0, ch2= 491, ch3= 242, ch4=  97, ch5=   0, ts=1714036106455570,	delta=664,
seq_no=19,	ch0= 725, ch1=  46, ch2= 370, ch3= 229, ch4= 134, ch5=   0, ts=1714036106456407,	delta=837,
seq_no=20,	ch0= 752, ch1= 106, ch2= 249, ch3= 197, ch4= 146, ch5=   0, ts=1714036106457263,	delta=856,
seq_no=21,	ch0= 736, ch1= 206, ch2= 146, ch3= 166, ch4= 181, ch5=   0, ts=1714036106458092,	delta=829,
seq_no=22,	ch0= 725, ch1= 314, ch2=  67, ch3= 121, ch4= 207, ch5=   0, ts=1714036106458900,	delta=808,
seq_no=23,	ch0= 676, ch1= 449, ch2=  54, ch3=  86, ch4= 253, ch5=   8, ts=1714036106459764,	delta=864,
seq_no=24,	ch0= 659, ch1= 536, ch2=   0, ch3=  64, ch4= 228, ch5=   0, ts=1714036106460598,	delta=834,
seq_no=25,	ch0= 543, ch1= 545, ch2=   0, ch3=  33, ch4= 297, ch5=  37, ts=1714036106461384,	delta=786,
seq_no=26,	ch0= 426, ch1= 698, ch2=   0, ch3=   0, ch4= 212, ch5=  98, ts=1714036106462237,	delta=853,
seq_no=27,	ch0= 325, ch1= 758, ch2=  55, ch3=   0, ch4= 198, ch5= 133, ts=1714036106463126,	delta=889,
seq_no=28,	ch0= 218, ch1= 785, ch2= 138, ch3=   0, ch4= 171, ch5= 168, ts=1714036106463905,	delta=779,
seq_no=29,	ch0= 125, ch1= 790, ch2= 245, ch3=   0, ch4= 134, ch5= 192, ts=1714036106464739,	delta=834,
seq_no=30,	ch0=  46, ch1= 765, ch2= 354, ch3=   0, ch4=  98, ch5= 210, ts=1714036106465642,	delta=903,
seq_no=31,	ch0=   0, ch1= 679, ch2= 468, ch3=  10, ch4= 101, ch5= 219, ts=1714036106466517,	delta=875,
seq_no=32,	ch0=  82, ch1= 626, ch2= 578, ch3=  36, ch4=   9, ch5= 221, ts=1714036106467339,	delta=822,
seq_no=33,	ch0=   0, ch1= 547, ch2= 677, ch3= 106, ch4=   6, ch5= 228, ts=1714036106468212,	delta=873,
seq_no=34,	ch0=   0, ch1= 448, ch2= 757, ch3=  96, ch4=   0, ch5= 207, ts=1714036106469077,	delta=865,
seq_no=35,	ch0=  34, ch1= 352, ch2= 870, ch3= 149, ch4=   0, ch5= 200, ts=1714036106469918,	delta=841,
seq_no=36,	ch0= 128, ch1= 330, ch2= 832, ch3= 184, ch4=   0, ch5=  86, ts=1714036106470877,	delta=959,
seq_no=37,	ch0= 194, ch1=  64, ch2= 852, ch3= 217, ch4=  28, ch5= 112, ts=1714036106471595,	delta=718,
seq_no=38,	ch0= 298, ch1=  52, ch2= 821, ch3= 232, ch4=   0, ch5=  91, ts=1714036106472420,	delta=825,
seq_no=39,	ch0= 406, ch1=   0, ch2= 757, ch3= 245, ch4=  17, ch5=  58, ts=1714036106473301,	delta=881,
seq_no=40,	ch0= 513, ch1=   0, ch2= 671, ch3= 253, ch4=  34, ch5=  36, ts=1714036106474064,	delta=763,
seq_no=41,	ch0= 598, ch1=   0, ch2= 578, ch3= 253, ch4=  70, ch5=   1, ts=1714036106474908,	delta=844,
seq_no=42,	ch0= 671, ch1=   0, ch2= 458, ch3= 242, ch4= 101, ch5=   0, ts=1714036106475782,	delta=874,
seq_no=43,	ch0= 727, ch1=  46, ch2= 340, ch3= 217, ch4= 135, ch5=   0, ts=1714036106476622,	delta=840,
seq_no=44,	ch0= 722, ch1= 119, ch2= 229, ch3= 192, ch4= 162, ch5=   0, ts=1714036106477447,	delta=825,
seq_no=45,	ch0= 744, ch1= 221, ch2= 133, ch3= 146, ch4= 186, ch5=   0, ts=1714036106478369,	delta=922,
seq_no=46,	ch0= 719, ch1= 334, ch2=  58, ch3= 113, ch4= 218, ch5=   0, ts=1714036106479119,	delta=750,
seq_no=47,	ch0= 730, ch1= 466, ch2=   0, ch3=  82, ch4= 230, ch5=   8, ts=1714036106479894,	delta=775,
seq_no=48,	ch0= 588, ch1= 428, ch2=   0, ch3=  34, ch4= 312, ch5=  26, ts=1714036106480724,	delta=830,
seq_no=49,	ch0= 635, ch1= 608, ch2=   0, ch3=  13, ch4= 168, ch5=  66, ts=1714036106481556,	delta=832,
seq_no=50,	ch0= 401, ch1= 714, ch2=   8, ch3=   0, ch4= 203, ch5= 112, ts=1714036106482397,	delta=841,
seq_no=51,	ch0= 293, ch1= 755, ch2=  79, ch3=   0, ch4= 187, ch5= 154, ts=1714036106483250,	delta=853,
seq_no=52,	ch0= 195, ch1= 784, ch2= 170, ch3=   0, ch4= 158, ch5= 171, ts=1714036106484078,	delta=828,
seq_no=53,	ch0= 119, ch1= 778, ch2= 270, ch3=   0, ch4= 128, ch5= 205, ts=1714036106484920,	delta=842,
seq_no=54,	ch0=  45, ch1= 749, ch2= 378, ch3=   0, ch4=  93, ch5= 214, ts=1714036106485760,	delta=840,
seq_no=55,	ch0=  56, ch1= 680, ch2= 493, ch3=  20, ch4=  57, ch5= 232, ts=1714036106486672,	delta=912,
